discoverymethod,description,periastrontime,discoveryyear,eccentricity,semimajoraxis,period,name,mass,periastron,list,lastupdate
transit,"Kepler-172 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-172 d are still unknown, the object is highly unlikely to be a false positive.",,2014,,,14.627119,Kepler-172 d,,,Confirmed planets,14/02/26
transit,"Kepler-172 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-172 e are still unknown, the object is highly unlikely to be a false positive.",,2014,,,35.118736,Kepler-172 e,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.078100,7.67463016,Kepler-1738 b,0.02630,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.069700,7.34370995,Kepler-1739 b,0.02040,,Confirmed planets,22/02/01
transit,"Kepler-173 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-173 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,8.005777,Kepler-173 c,,,Confirmed planets,14/02/26
transit,"Kepler-173 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-173 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,4.263742,Kepler-173 b,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.061500,5.82352018,Kepler-1748 b,0.02460,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.095600,14.53409958,Kepler-1749 b,0.01020,,Confirmed planets,22/09/15
transit,"Kepler-174 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-174 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,13.981790,Kepler-174 b,,,Confirmed planets,14/02/26
transit,"Kepler-174 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-174 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,44.000529,Kepler-174 c,,,Confirmed planets,14/02/26
transit,"Kepler-174 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-174 d are still unknown, the object is highly unlikely to be a false positive.",,2014,,,247.353730,Kepler-174 d,,,Confirmed planets,14/02/26
transit,"Kepler-175 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-175 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,11.903515,Kepler-175 b,,,Confirmed planets,14/02/26
transit,"Kepler-175 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-175 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,34.035257,Kepler-175 c,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.208400,38.32609940,Kepler-1760 b,0.01840,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.041300,4.04354000,Kepler-1761 b,0.00791,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.204000,29.53910065,Kepler-1762 b,0.02530,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.025700,1.48028004,Kepler-1763 b,0.00499,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.422900,105.01499940,Kepler-1766 b,0.01830,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.287300,59.65829849,Kepler-1767 b,0.02940,,Confirmed planets,22/02/01
transit,"Kepler-176 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-176 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,12.759712,Kepler-176 c,,,Confirmed planets,14/02/26
transit,"Kepler-176 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-176 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,5.433074,Kepler-176 b,,,Confirmed planets,14/02/26
transit,"Kepler-176 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-176 d are still unknown, the object is highly unlikely to be a false positive.",,2014,,,25.751974,Kepler-176 d,,,Confirmed planets,14/02/26
transit,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,2016,,,51.165790000,Kepler-176 e,,,Confirmed planets,16/05/10
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.041800,3.21509004,Kepler-1772 b,0.02420,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.248900,40.80970001,Kepler-1773 b,0.03800,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.309600,59.77080154,Kepler-1774 b,0.03220,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.398600,85.65399933,Kepler-1775 b,0.04060,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.212400,35.01190186,Kepler-1776 b,0.02300,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.103100,12.18420029,Kepler-1777 b,0.01630,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.034300,2.80012012,Kepler-1788 b,0.01970,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.354300,80.23190308,Kepler-1789 b,0.02640,,Confirmed planets,22/02/01
transit,"Kepler-178 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-178 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,9.576694,Kepler-178 b,,,Confirmed planets,14/02/26
transit,"Kepler-178 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-178 d are still unknown, the object is highly unlikely to be a false positive.",,2014,,,96.678988,Kepler-178 d,,,Confirmed planets,14/02/26
transit,"Kepler-178 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-178 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,20.552802,Kepler-178 c,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.108200,16.85589981,Kepler-1798 b,0.01870,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.102800,11.92969990,Kepler-1799 b,0.05010,,Confirmed planets,22/02/01
transit,"Kepler-179 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-179 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,6.400130,Kepler-179 c,,,Confirmed planets,14/02/26
transit,"Kepler-179 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-179 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,2.735926,Kepler-179 b,,,Confirmed planets,14/02/26
transit,Kepler-17b is a planet on a short orbit around a solar mass star. One year on this planet equals 1.5 days on Earth. Star spots on the host star constrain the eccentricity and obliquity of the planet.,,2011,0.011,0.02591,1.4857108,Kepler-17 b,2.47,,Confirmed planets,15/12/03
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.146700,23.34040070,Kepler-1808 b,0.02960,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.043500,3.75729990,Kepler-1809 b,0.00912,,Confirmed planets,22/02/01
transit,"Kepler-180 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-180 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,41.885775,Kepler-180 c,,,Confirmed planets,14/02/26
transit,"Kepler-180 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-180 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,13.817124,Kepler-180 b,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.055000,4.64490986,Kepler-1818 b,0.01130,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.133700,16.48690033,Kepler-1819 b,0.04560,,Confirmed planets,22/02/01
transit,"Kepler-181 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-181 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,4.302149,Kepler-181 c,,,Confirmed planets,14/02/26
transit,"Kepler-181 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-181 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,3.137873,Kepler-181 b,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.196400,31.03249931,Kepler-1820 b,0.03120,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.124400,16.45809937,Kepler-1821 b,0.02280,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.426700,95.61100006,Kepler-1824 b,0.01970,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.018700,1.02586997,Kepler-1825 b,0.00821,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.021300,1.61536002,Kepler-1826 b,0.00874,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.045500,3.70061994,Kepler-1827 b,0.01290,,Confirmed planets,22/02/01
transit,"Kepler-182 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-182 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,20.684342,Kepler-182 c,,,Confirmed planets,14/02/26
transit,"Kepler-182 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-182 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,9.825792,Kepler-182 b,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.325900,56.49330139,Kepler-1830 b,0.03480,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.065500,5.78387022,Kepler-1831 b,0.01430,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.037000,3.13878989,Kepler-1832 b,0.00637,,Confirmed planets,22/09/15
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.077100,6.89212990,Kepler-1833 b,0.00705,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.049600,4.60301018,Kepler-1834 b,0.00858,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.099700,11.96409988,Kepler-1835 b,0.03850,,Confirmed planets,22/02/01
transit,"Kepler-183 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-183 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,11.637071,Kepler-183 c,,,Confirmed planets,14/02/26
transit,"Kepler-183 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-183 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,5.687945,Kepler-183 b,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.464400,131.19000240,Kepler-1840 b,0.02560,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.160600,25.88599968,Kepler-1841 b,0.00888,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.116000,14.02639961,Kepler-1842 b,0.01930,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.171000,25.54339981,Kepler-1843 b,0.02450,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.047800,3.92451000,Kepler-1844 b,0.02980,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.088500,11.60649967,Kepler-1845 b,0.02050,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.108900,14.82009983,Kepler-1846 b,0.01180,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.098900,11.12969971,Kepler-1847 b,0.02510,,Confirmed planets,22/02/01
transit,"Kepler-184 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-184 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,10.687576,Kepler-184 b,,,Confirmed planets,14/02/26
transit,"Kepler-184 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-184 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,20.303005,Kepler-184 c,,,Confirmed planets,14/02/26
transit,"Kepler-184 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-184 d are still unknown, the object is highly unlikely to be a false positive.",,2014,,,29.022358,Kepler-184 d,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.020600,1.38580000,Kepler-1850 b,0.00098,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.101600,12.02289963,Kepler-1851 b,0.04550,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.076200,7.97094011,Kepler-1852 b,0.01330,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.239500,48.88819885,Kepler-1853 b,0.00918,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.211900,39.83110046,Kepler-1854 b,0.02270,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.011500,0.72733098,Kepler-1855 b,0.00617,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.021500,1.30200005,Kepler-1856 b,0.01150,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.080700,8.94340992,Kepler-1857 b,0.01420,,Confirmed planets,22/02/01
transit,"Kepler-185 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-185 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,,20.729042,Kepler-185 c,,,Confirmed planets,14/02/26
transit,"Kepler-185 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-185 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,,1.632900,Kepler-185 b,,,Confirmed planets,14/02/26
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.626600,211.03399660,Kepler-1868 b,0.03170,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.079100,8.16736031,Kepler-1869 b,0.00458,,Confirmed planets,22/02/01
transit,"Kepler-186 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-186 c are still unknown, the object is highly unlikely to be a false positive.",,2014,,0.0520,7.267301,Kepler-186 c,,,Confirmed planets,14/04/17
transit,"Kepler-186 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-186 d are still unknown, the object is highly unlikely to be a false positive.",,2014,,0.0781,13.342996,Kepler-186 d,,,Confirmed planets,14/04/17
transit,"Kepler-186 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-186 b are still unknown, the object is highly unlikely to be a false positive.",,2014,,0.0343,3.8867907,Kepler-186 b,,,Confirmed planets,14/04/17
transit,"Kepler-186 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-186 e are still unknown, the object is highly unlikely to be a false positive.",,2014,,0.110,22.407704,Kepler-186 e,,,Confirmed planets,14/04/17
transit,"Kepler-186 f is the first Earth-size planet in the habitable zone. The mass of the planet is not known, therefore one can only speculate about the planet's composition. If it is rocky, it could have liquid water on its surface. Kepler-186 orbits an M-dwarf, a star that is much cooler than the Sun. This is why the system's habitable zone is much closer to the star than in the Solar system.",,2014,,0.356,,Kepler-186 f,,,Confirmed planets,14/04/18
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.052100,4.44587994,Kepler-1878 b,0.02790,,Confirmed planets,22/02/01
transit,This planet was discovered by Valizadegan et al. 2022. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.000000,0.095300,10.61340046,Kepler-1879 b,0.01550,,Confirmed planets,22/02/01
