distance,rightascension,name,constellation,declination,binaries,planets,stars
55.55,23 32 54.0465,HD 221585,Cassiopeia,+63 09 19.7353,0.0,1.0,1.0
83.5,23 38 07.9443,HD 222076,Tucana,-70 05 48,0.0,1.0,1.0
49.1,23 38 00.3072,HD 222155,Andromeda,+48 59 47.4864,0.0,1.0,1.0
42,23 41 51,HD 222582,Aquarius,-05 59 08,1.0,1.0,2.0
77.76,23 58 51.7634,HD 224538,Tucana,-61 24 48,0.0,1.0,1.0
94,23 59 53.8316,HD 224693,Cetus,-22 25 41.2159,0.0,1.0,1.0
13.602,03 35 00.9398,HD 22496,Horologium,-48 25 08.9067,0.0,1.0,1.0
161.2,03 35 16.00,HD 22532,Horologium,-49 25 03.00,0.0,1.0,1.0
31.79,03 40 49.5245,HD 22781,Perseus,+31 49 34.6488,0.0,1.0,1.0
34.8,03 39 43.0960,HD 23079,Reticulum,-52 54 57.0161,0.0,1.0,1.0
89.1,03 39 23.6379,HD 23127,Reticulum,-60 04 40.2386,0.0,1.0,1.0
108.4,19 32 04.1610,HD 231701,Sagitta,+16 28 27.4411,0.0,1.0,1.0
868.7,09 09 48.8205,HD 233604,Ursa Major,+53 34 05.6315,0.0,1.0,1.0
58.84,11 26 05.4842,HD 233832,Ursa Major,+50 22 32.7910,0.0,1.0,1.0
39.08,03 41 50.3991,HD 23472,Reticulum,-62 46 01.4795,0.0,2.0,1.0
52,03 48 00.3743,HD 23596,Perseus,+40 31 50.3005,0.0,1.0,1.0
15.24,12 12 20.8596,HD 238090,Ursa Major,+54 29 08.7235,0.0,1.0,1.0
527.24,18 38 20.2183,HD 238914,Draco,+59 15 13.8951,0.0,1.0,1.0
143,23 10 29.2303,HD 240210,Cassiopeia,+57 01 46.0277,0.0,1.0,1.0
958.1,23 15 42.22361,HD 240237,Cassiopeia,+58 02 35.6654,0.0,1.0,1.0
46.6224000,03 50 23,HD 24040,Taurus,+17 28 31,0.0,2.0,1.0
264.4,03 56 36.2965,HD 24064,Camelopardalis,+74 04 48.1238,0.0,1.0,1.0
54.99,03 45 01.5507,HD 24085,Hydrus,-70 01 26.7604,0.0,1.0,1.0
37.47,03 57 43.9203,HD 25015,Eridanus,-20 16 04.0531,0.0,1.0,1.0
55,03 55 49.4402,HD 25171,Reticulum,-65 11 12.0291,0.0,1.0,1.0
9.9976,06 37 11.00,HD 260655,Gemini,+17 33 53.00,0.0,2.0,1.0
40.9611,04 09 38.8562,HD 26161,Perseus,+31 39 07.6779,0.0,1.0,1.0
53.71,00 29 16.10949,HD 2638,Cetus,-05 54 37.7582,2.0,1.0,3.0
197.98,00 29 18.9527,HD 2685,Hydrus,-76 18 14.6232,0.0,1.0,1.0
4.98,04 15 16.31963,HD 26965,Eridanus,-07 39 10.3404,2.0,1.0,3.0
18.1,04 16 29,HD 27442,Reticulum,-59 18 07,1.0,1.0,2.0
45.5,04 19 45.4693,HD 27631,Horologium,-41 57 36.9515,0.0,1.0,1.0
43.88,04 20 47.0464,HD 27894,Reticulum,-59 24 39.0231,0.0,3.0,1.0
68.06,04 26 49.4514,HD 27969,Perseus,+42 54 34.1462,0.0,1.0,1.0
140.087,04 20 57.00,HD 28109,Hydrus,-68 06 10.00,0.0,3.0,1.0
39.4,04 26 26.3227,HD 28185,Eridanus,-10 33 02.9454,0.0,1.0,1.0
49.8063000,04 26 49,HD 28192,Eridanus,-01 43 28,0.0,1.0,1.0
56.2,04 24 50.7051,HD 28254,Dorado,-50 37 19.8834,0.0,1.0,1.0
44.70,04 07 01.2257,HD 285507,Taurus,+15 20 06.1084,0.0,1.0,1.0
227,04 31 25.4541,HD 28678,Taurus,+04 34 31.0605,0.0,1.0,1.0
30.6,04 37 52.2213,HD 29021,Camelopardalis,+60 40 34.3179,0.0,1.0,1.0
54.9,05 23 21.5638,HD 290327,Orion,-02 16 39.4337,0.0,1.0,1.0
44.2,04 33 33.9494,HD 29399,Reticulum,-62 49 25.2377,0.0,1.0,1.0
