magK,magB,metallicity,magH,name,mass,magV,spectraltype,radius,magJ,temperature,planets
,,-0.08,,Kepler-1490,0.90,,,0.87,,5515.0,1.0
,,0.06,,Kepler-1491,1.00,,,0.99,,5728.0,1.0
,,0.06,,Kepler-1492,0.77,,,0.72,,4712.0,1.0
,,0.06,,Kepler-1493,1.06,,,1.29,,5863.0,1.0
,,0.01,,Kepler-1494,0.96,,,0.94,,5659.0,1.0
,,0.06,,Kepler-1495,1.03,,,1.04,,5831.0,1.0
,,0.05,,Kepler-1496,1.18,,,1.27,,6182.0,1.0
,,0.01,,Kepler-1497,0.96,,,0.95,,5675.0,1.0
13.238,,-0.01,13.233,Kepler-1498,0.86,,,0.81,13.703,5256.0,1.0
11.455,,-0.01,11.551,Kepler-1499,0.82,,,0.78,12.016,5097.0,1.0
12.184,,,12.274,Kepler-149,0.9090,,,0.953,12.694,5381,3.0
10.988,12.24,0.12,11.068,Kepler-14,1.512,12.12,F,2.048,11.202,6395.0,1.0
13.030,,-0.05,13.149,Kepler-1500,1.00,,,1.00,13.476,5845.0,1.0
12.364,,0.04,12.415,Kepler-1501,1.20,,,1.30,12.661,6229.0,1.0
12.907,,0.05,12.945,Kepler-1502,1.44,,,1.72,13.174,6666.0,1.0
13.767,,-0.19,13.820,Kepler-1503,0.77,,,0.74,14.353,5069.0,1.0
13.834,,-0.17,13.998,Kepler-1504,0.85,,,0.81,14.409,5393.0,1.0
11.406,,-0.18,11.497,Kepler-1505,0.93,,,0.86,11.830,5686.0,1.0
14.082,,-0.05,14.117,Kepler-1506,0.95,,,0.93,14.510,5676.0,1.0
11.386,,-0.03,11.461,Kepler-1507,0.89,,,0.85,11.866,5410.0,1.0
,,0.01,,Kepler-1508,1.14,,,1.22,,6158.0,1.0
,,0.03,,Kepler-1509,1.00,,,0.99,,5780.0,1.0
13.37,,,13.422,Kepler-150,0.9700,,,0.939,13.817,5560,4.0
13.728,,0.04,13.779,Kepler-1510,1.19,,,1.28,14.076,6200.0,1.0
12.471,,0.14,12.544,Kepler-1511,1.17,,,1.29,12.713,6064.0,1.0
10.623,,0.20,10.750,Kepler-1512,0.73,,,0.67,11.315,4372.0,1.0
11.309,,0.14,11.397,Kepler-1513,0.99,,,0.97,11.758,5617.0,1.0
10.688,,0.119,10.728,Kepler-1514,1.20,,,1.29,10.953,6145.00,2.0
10.886,12.03,0.07,10.942,Kepler-1515,1.30,12.10,,1.41,11.163,6511.0,1.0
12.815,,0.03,12.947,Kepler-1516,1.04,,,1.07,13.233,5904.0,1.0
11.303,12.71,0.01,11.346,Kepler-1517,1.58,12.23,,1.95,11.505,7010.0,1.0
,,0.06,,Kepler-1518,1.54,,,1.88,,6846.0,1.0
,,-0.07,,Kepler-1519,0.94,,,0.91,,5644.0,1.0
12.86,,,12.998,Kepler-151,0.8600,,,0.830,13.383,5460,2.0
,,-0.05,,Kepler-1521,0.81,,,0.76,,5042.0,1.0
,,-0.07,,Kepler-1522,0.96,,,0.93,,5706.0,1.0
,,0.00,,Kepler-1523,0.97,,,0.96,,5708.0,1.0
,,0.04,,Kepler-1524,1.17,,,1.25,,6179.0,1.0
,,0.27,,Kepler-1525,1.07,,,1.04,,5748.0,1.0
,,-0.01,,Kepler-1526,0.73,,,0.69,,4601.0,1.0
,,0.07,,Kepler-1527,1.21,,,1.32,,6224.0,1.0
13.032,,0.03,13.067,Kepler-1528,1.03,,,1.03,13.397,5857.0,1.0
13.26,,-0.03,13.297,Kepler-1529,0.81,,,0.77,13.799,5048.0,1.0
12.301,,,12.488,Kepler-152,,,,0.724,12.853,5088,2.0
,,0.03,,Kepler-1530,0.92,,,0.88,,5477.0,2.0
,,-0.03,,Kepler-1531,1.16,,,1.27,,6260.0,1.0
,,-0.10,,Kepler-1532,0.91,,,0.88,,5559.0,1.0
,,0.03,,Kepler-1533,1.31,,,1.51,,6431.0,1.0
,,-0.01,,Kepler-1534,0.90,,,0.86,,5442.0,1.0
,,0.00,,Kepler-1535,1.08,,,1.11,,6021.0,1.0
,,0.05,,Kepler-1536,0.71,,,0.67,,4434.0,1.0
,,-0.08,,Kepler-1537,0.81,,,0.77,,5079.0,1.0
13.751,,0.02,13.829,Kepler-1538,1.03,,,1.03,14.122,5837.0,1.0
13.382,,-0.01,13.500,Kepler-1539,0.84,,,0.80,13.931,5176.0,1.0
12.418,,,12.483,Kepler-153,0.8200,,,0.892,12.945,5404,2.0
,,0.10,,Kepler-1540,0.74,,,0.69,,4540.0,1.0
,,-0.04,,Kepler-1541,0.86,,,0.81,,5282.0,1.0
,,0.06,,Kepler-1542,0.94,,,0.99,,5564.0,4.0
,,0.07,,Kepler-1543,1.39,,,1.65,,6561.0,1.0
,,0.02,,Kepler-1544,0.81,,,0.74,,4886.0,1.0
,,-0.06,,Kepler-1545,0.84,,,0.80,,5201.0,1.0
,,0.01,,Kepler-1546,0.95,,,0.93,,5623.0,1.0
,,0.04,,Kepler-1547,1.12,,,1.18,,6078.0,1.0
13.700,,0.05,13.735,Kepler-1548,0.99,,,0.97,14.057,5706.0,1.0
13.271,,0.02,13.372,Kepler-1549,0.88,,,0.84,13.791,5324.0,1.0
12.986,,,13.09,Kepler-154,,,,1.001,13.389,5690,5.0
,,0.01,,Kepler-1550,1.07,,,1.11,,5991.0,1.0
,,0.01,,Kepler-1551,1.14,,,1.22,,6136.0,1.0
,,-0.07,,Kepler-1552,0.85,,,0.78,,5202.0,1.0
,,-0.09,,Kepler-1553,0.85,,,0.81,,5288.0,1.0
,,-0.10,,Kepler-1554,0.84,,,0.81,,5297.0,1.0
,,0.03,,Kepler-1555,1.04,,,1.06,,5866.0,1.0
,,0.08,,Kepler-1556,0.97,,,0.95,,5608.0,1.0
,,0.02,,Kepler-1557,1.11,,,1.17,,6099.0,1.0
11.657,,0.00,11.738,Kepler-1558,0.83,,,0.79,12.204,5101.0,1.0
,,-0.04,,Kepler-1559,0.86,,,0.82,,5316.0,1.0
11.80,,,11.89,Kepler-155,0.6350,,,0.620,12.53,4508,2.0
11.868,,0.04,11.912,Kepler-1560,1.02,,,1.02,12.247,5815.0,1.0
13.053,,0.04,13.116,Kepler-1561,1.07,,,1.11,13.453,5957.0,1.0
13.849,,0.11,13.903,Kepler-1562,1.02,,,1.05,14.169,5760.0,1.0
12.013,,0.02,12.079,Kepler-1563,1.00,,,0.99,12.410,5765.0,1.0
13.283,,0.03,13.361,Kepler-1564,0.93,,,0.90,13.711,5528.0,1.0
,,-0.16,,Kepler-1565,0.76,,,0.73,,4940.0,1.0
,,-0.07,,Kepler-1566,0.84,,,0.81,,5254.0,1.0
,,-0.03,,Kepler-1567,0.95,,,0.93,,5655.0,1.0
,,0.09,,Kepler-1568,1.09,,,1.19,,5956.0,1.0
,,0.06,,Kepler-1569,1.25,,,1.40,,6319.0,1.0
12.155,,,12.255,Kepler-156,0.7370,,,0.807,12.735,5094,2.0
11.997,,-0.04,12.046,Kepler-1570,0.92,,,0.89,12.489,5550.0,1.0
,,0.04,,Kepler-1571,1.23,,,1.39,,6297.0,1.0
,,0.08,,Kepler-1572,0.97,,,0.95,,5618.0,1.0
,,0.02,,Kepler-1573,1.01,,,1.00,,5808.0,1.0
13.679,,0.08,13.672,Kepler-1574,1.06,,,1.08,13.972,5892.0,1.0
13.828,,-0.07,13.871,Kepler-1575,0.95,,,0.92,14.268,5667.0,1.0
11.800,,0.05,11.889,Kepler-1576,1.05,,,1.06,12.197,5876.0,1.0
12.862,,0.00,12.936,Kepler-1577,0.78,,,0.74,13.491,4862.0,1.0
,,-0.13,,Kepler-1578,0.90,,,0.86,,5545.0,1.0
,,0.11,,Kepler-1579,0.75,,,0.70,,4584.0,1.0
12.57,,,12.627,Kepler-157,1.0280,,,1.044,12.94,5774,3.0
,,0.12,,Kepler-1580,1.47,,,2.15,,6228.0,1.0
,,0.07,,Kepler-1581,1.12,,,1.23,,6022.0,1.0
,,0.48,,Kepler-1582,0.28,,,0.30,,3208.0,1.0
,,-0.07,,Kepler-1583,0.94,,,0.91,,5645.0,1.0
,,0.00,,Kepler-1584,1.10,,,1.13,,6069.0,1.0
,,0.08,,Kepler-1585,0.94,,,0.91,,5538.0,1.0
,,0.06,,Kepler-1586,1.45,,,1.75,,6681.0,1.0
,,0.07,,Kepler-1587,1.08,,,1.22,,5933.0,1.0
12.383,,-0.14,12.456,Kepler-1588,0.96,,,0.99,12.766,5817.0,1.0
13.544,,0.08,13.549,Kepler-1589,1.18,,,1.25,13.859,6166.0,1.0
12.057,,,12.138,Kepler-158,0.6550,,,0.624,12.722,4623,2.0
,,0.03,,Kepler-1590,1.11,,,1.16,,6053.0,1.0
,,0.01,,Kepler-1591,1.10,,,1.16,,6082.0,1.0
,,0.04,,Kepler-1592,1.18,,,1.28,,6213.0,1.0
,,0.02,,Kepler-1593,0.81,,,0.77,,4995.0,1.0
,,0.03,,Kepler-1594,1.06,,,1.08,,5946.0,1.0
,,-0.02,,Kepler-1595,0.84,,,0.80,,5203.0,1.0
,,-0.11,,Kepler-1596,0.95,,,0.92,,5706.0,1.0
,,0.02,,Kepler-1597,1.25,,,1.39,,6377.0,1.0
,,0.04,,Kepler-1598,1.07,,,1.09,,5940.0,1.0
,,0.02,,Kepler-1599,0.99,,,0.99,,5767.0,1.0
12.357,,,12.530,Kepler-159,0.6280,,,0.663,13.104,4625,2.0
12.216,,0.36,12.28,Kepler-15,1.00,13.8,G,0.98,12.578,5514,1.0
13.8960000,,0.070,13.9030000,Kepler-1600,0.86,16.0760000,,0.82,14.3510000,5214.00,2.0
12.216,,0.05,12.311,Kepler-1601,1.04,,,1.07,12.602,5869.0,1.0
12.060,,0.02,12.100,Kepler-1602,1.22,,,1.36,12.386,6296.0,1.0
13.840,,0.07,13.928,Kepler-1603,1.21,,,1.31,14.191,6241.0,1.0
,,0.02,,Kepler-1604,0.81,,,0.76,,4976.0,1.0
,,-0.01,,Kepler-1605,0.86,,,0.82,,5280.0,1.0
13.400,,0.01,13.502,Kepler-1606,0.90,,,0.86,13.875,5422.0,1.0
,,0.05,,Kepler-1607,1.14,,,1.21,,6116.0,1.0
,,-0.24,,Kepler-1608,0.75,,,0.72,,4992.0,1.0
,,0.10,,Kepler-1609,1.18,,,1.27,,6132.0,1.0
13.052,,,13.101,Kepler-160,,,,1.12,13.460,5471.00,3.0
,,0.10,,Kepler-1610,0.91,,,0.87,,5383.0,1.0
,,0.01,,Kepler-1611,0.94,,,0.93,,5605.0,1.0
13.075,,0.03,13.141,Kepler-1612,0.96,,,0.94,13.498,5643.0,1.0
,,0.01,,Kepler-1613,1.08,,,1.12,,6005.0,1.0
14.001,,-0.17,14.053,Kepler-1614,0.79,,,0.76,14.588,5121.0,1.0
13.048,,0.06,13.104,Kepler-1615,1.04,,,1.05,13.402,5865.0,1.0
12.228,,0.02,12.263,Kepler-1616,1.21,,,1.34,12.523,6266.0,1.0
12.323,,0.01,12.369,Kepler-1617,1.15,,,1.22,12.665,6167.0,1.0
,,0.04,,Kepler-1618,1.41,,,1.65,,6620.0,1.0
,,-0.07,,Kepler-1619,1.00,,,1.00,,5852.0,1.0
12.246,,,12.329,Kepler-161,0.7830,,,0.806,12.767,5078,2.0
,,0.03,,Kepler-1620,1.15,,,1.23,,6157.0,1.0
,,0.03,,Kepler-1621,1.15,,,1.24,,6158.0,1.0
,,0.04,,Kepler-1622,1.31,,,1.50,,6436.0,1.0
,,0.04,,Kepler-1623,1.00,,,1.00,,5772.0,1.0
,,0.06,,Kepler-1624,0.50,,,0.47,,3636.0,1.0
,,0.01,,Kepler-1625,0.96,,,0.94,,5677.0,1.0
,,0.04,,Kepler-1626,1.51,,,1.85,,6826.0,1.0
,,-0.10,,Kepler-1627,0.87,,,0.84,,5445.0,1.0
13.224,,0.17,13.410,Kepler-1628,0.55,,,0.52,14.126,3724.0,1.0
11.218,,0.05,11.302,Kepler-1629,1.01,,,1.01,11.595,5776.0,1.0
12.658,,,12.708,Kepler-162,0.9530,,,0.958,13.041,5816,2.0
,,-0.46,,Kepler-1630,0.66,,,0.63,,4736.0,1.0
,,0.04,,Kepler-1631,0.97,,,0.95,,5679.0,1.0
,,0.00,,Kepler-1632,1.12,,,1.19,,6137.0,1.0
,,0.02,,Kepler-1633,1.20,,,1.32,,6256.0,1.0
,,0.02,,Kepler-1634,0.92,,,0.89,,5474.0,1.0
,,0.06,,Kepler-1635,0.89,,,0.85,,5347.0,1.0
,,0.03,,Kepler-1636,1.01,,,1.02,,5797.0,1.0
,,0.07,,Kepler-1637,1.02,,,1.02,,5789.0,1.0
,,-0.01,,Kepler-1638,0.97,,,0.95,,5710.0,1.0
,,-0.03,,Kepler-1639,1.12,,,1.18,,6150.0,1.0
12.784,,,12.850,Kepler-163,0.9600,,,0.917,13.194,5776,2.0
,,0.10,,Kepler-1640,1.27,,,1.43,,6324.0,1.0
,,-0.02,,Kepler-1641,1.12,,,1.19,,6152.0,2.0
,,-0.01,,Kepler-1642,0.88,,,0.84,,5355.0,2.0
,,-0.01,,Kepler-1643,0.92,,,0.88,,5508.0,1.0
,,-0.10,,Kepler-1644,0.89,,,0.86,,5499.0,1.0
,,0.04,,Kepler-1645,1.02,,,1.02,,5812.0,1.0
,,0.04,,Kepler-1646,0.24,,,0.26,,3299.0,1.0
12.589,19.1,-0.150,12.852,Kepler-1649,0.20,,,0.23,13.379,3240.00,2.0
12.935,,,13.008,Kepler-164,1.1500,,,1.148,13.254,5888,3.0
12.199,,-0.110,12.438,Kepler-1650,0.33,,,0.33,12.990,3410.00,1.0
12.635,,-0.300,12.784,Kepler-1652,0.40,,,0.38,13.454,3638.00,1.0
13.211,,-0.180,13.278,Kepler-1653,0.72,,,0.69,13.880,4807.00,1.0
11.922,,-0.088,11.934,Kepler-1654,1.01,,G5V,1.18,12.281,5597.00,1.0
9.785,,-0.240,9.849,Kepler-1655,1.03,,G0V,1.03,10.065,6148.00,1.0
9.640,,0.190,9.715,Kepler-1656,1.03,11.640,,1.10,10.046,5731.00,1.0
10.195,11.86,-0.180,10.266,Kepler-1658,1.45,11.62,,2.89,10.475,6216.00,1.0
12.843,,,12.926,Kepler-165,0.7900,,,0.770,13.430,5211,2.0
12.162,,-0.120,12.223,Kepler-1661,0.84,,K,0.76,12.729,5100.00,1.0
12.552,,,12.741,Kepler-1663,,,,0.71,13.418,3793.47,1.0
12.054,,,12.141,Kepler-1664,,,,,12.465,5945.95,1.0
11.571,,,11.607,Kepler-1665,,,,0.80,12.113,4949.25,1.0
13.629,,,13.682,Kepler-1666,,,,1.21,13.960,5818.75,2.0
12.119,,,12.147,Kepler-1667,,,,1.06,12.429,5951.00,1.0
14.013,,,14.101,Kepler-1668,,,,1.05,14.492,5328.33,1.0
13.200,,,13.321,Kepler-1669,,,,0.71,14.045,4218.09,1.0
12.88,,,12.941,Kepler-166,0.8790,,,0.742,13.346,5413,3.0
14.019,,,13.946,Kepler-1670,,,,1.57,14.365,5766.00,1.0
11.512,,,11.586,Kepler-1671,,,,0.92,11.964,5085.99,1.0
11.096,,,11.103,Kepler-1672,,,,1.08,11.387,5899.25,1.0
12.315,,,12.369,Kepler-1673,,,,1.04,12.593,6220.81,1.0
13.806,,,13.875,Kepler-1674,,,,0.87,14.191,5326.33,1.0
12.163,,,12.225,Kepler-1675,,,,1.13,12.532,5747.00,1.0
11.985,,-0.104,12.046,Kepler-1676,,,,0.88,12.343,5893.00,1.0
12.288,,,12.373,Kepler-1677,,,,1.20,12.605,5804.50,1.0
13.371,,,13.389,Kepler-1678,,,,0.90,13.773,5421.00,1.0
13.528,,,13.582,Kepler-1679,,,,0.90,13.898,5358.25,1.0
11.832,,-0.03,11.974,Kepler-167,0.770,,K3-4,0.726,12.446,4890,4.0
11.673,,,11.788,Kepler-1680,,,,0.70,12.267,4975.50,1.0
12.661,,,12.772,Kepler-1681,,,,0.89,13.183,5173.08,1.0
14.087,,,14.077,Kepler-1682,,,,0.84,14.429,5517.75,1.0
13.040,,,13.097,Kepler-1683,,,,0.95,13.475,5047.59,1.0
13.434,,,13.529,Kepler-1684,,,,0.60,14.117,4787.00,1.0
14.059,,,14.185,Kepler-1685,,,,0.79,14.598,5378.58,1.0
12.336,,,12.395,Kepler-1686,,,,1.14,12.659,5774.33,1.0
12.739,,,12.843,Kepler-1687,,,,0.65,13.491,4249.00,1.0
11.755,,,11.860,Kepler-1688,,,,,12.388,4936.24,1.0
10.706,,,10.782,Kepler-1689,,,,0.96,11.065,5806.00,1.0
13.21,,,13.26,Kepler-168,1.1200,,,1.107,13.490,6282,2.0
12.905,,,13.058,Kepler-1690,,,,0.87,13.413,5336.50,1.0
13.464,,,13.567,Kepler-1691,,,,1.21,13.812,5753.00,1.0
12.658,,,12.793,Kepler-1692,,,,0.94,13.176,4935.73,1.0
13.101,,,13.153,Kepler-1693,,,,0.89,13.527,5356.00,1.0
12.712,,,12.801,Kepler-1694,,,,0.72,13.288,4958.00,1.0
12.998,,,13.064,Kepler-1695,,,,0.95,13.438,5437.00,1.0
13.969,,,13.913,Kepler-1696,,,,1.27,14.245,5379.00,1.0
11.175,,,11.288,Kepler-1697,,,,0.64,11.760,5017.00,1.0
10.915,,,11.013,Kepler-1698,,,,0.74,11.489,4945.83,1.0
12.996,,,13.073,Kepler-1699,,,,,13.449,5214.40,1.0
12.186,,,12.283,Kepler-169,0.9180,,,0.763,12.729,4997,5.0
,,-0.3,,Kepler-16 A,0.6897,,K,0.6489,,4450,0.0
,,,,Kepler-16 B,0.20255,,M,0.22623,,,0.0
12.352,,,12.434,Kepler-1700,,,,1.14,12.670,5885.00,1.0
12.743,,,12.806,Kepler-1701,,,,0.83,13.232,5116.26,1.0
13.959,,,13.957,Kepler-1702,,,,0.74,14.411,5003.75,1.0
11.7920000,,0.196,11.8420000,Kepler-1704,1.13,13.3920000,,1.70,12.1380000,5745.00,1.0
13.735,,-0.52,13.868,Kepler-1705,0.838,,,0.768,14.21,5775.0,2.0
,,0.0,,Kepler-1708,1.088,16.0,,1.117,,6157.0,2.0
12.677,,,12.773,Kepler-170,1.0890,,,1.035,13.143,5679,2.0
11.0470000,,-0.040,11.0780000,Kepler-1710,0.93,12.6950000,,0.90,11.4200000,5650.00,1.0
11.6430000,,0.000,11.7020000,Kepler-1711,0.94,13.2980000,,1.03,12.0170000,5706.00,1.0
11.1240000,,0.020,11.3420000,Kepler-1712,0.52,14.9460000,,0.51,12.0090000,3732.00,1.0
9.7540000,,0.100,9.7960000,Kepler-1713,1.30,11.0650000,,1.46,9.9690000,6477.00,1.0
9.7050000,,0.220,9.7740000,Kepler-1714,1.45,11.0410000,,2.09,10.0110000,6150.00,1.0
11.0410000,,-0.040,11.0800000,Kepler-1715,1.08,12.8810000,,1.21,11.3380000,6212.00,1.0
10.8130000,,-0.240,10.8970000,Kepler-1716,0.75,13.1290000,,0.68,11.4290000,4894.00,1.0
12.2280000,,-0.060,12.2630000,Kepler-1717,1.16,13.3230000,,1.64,12.4550000,6200.00,1.0
13.21,,,13.23,Kepler-171,0.9310,,,0.839,13.586,5642,3.0
13.2030000,,0.180,13.2320000,Kepler-1728,0.89,15.2790000,,0.81,13.6430000,5170.00,1.0
13.1020000,,-0.060,13.2770000,Kepler-1729,0.54,15.6760000,,0.52,13.8550000,3837.00,1.0
12.79,,,12.88,Kepler-172,0.8500,,,1.085,13.170,5526,4.0
13.8510000,,-0.020,13.9600000,Kepler-1738,1.08,15.6490000,,1.00,14.2470000,6063.00,1.0
13.0240000,,-0.500,13.1370000,Kepler-1739,0.86,14.8990000,,0.76,13.4920000,5757.00,1.0
12.67,,,12.76,Kepler-173,1.0600,,,0.949,13.081,6031,2.0
14.1870000,,-0.220,14.1440000,Kepler-1748,0.92,16.0040000,,0.86,14.5610000,5774.00,1.0
11.8090000,,-0.160,11.9690000,Kepler-1749,0.55,14.9500000,,0.55,12.6630000,3957.00,1.0
12.184,,,12.293,Kepler-174,0.6020,,,0.622,12.791,4880,3.0
13.50,,,13.487,Kepler-175,1.0450,,,1.010,13.773,6064,2.0
12.5370000,,0.080,12.6280000,Kepler-1760,0.82,14.4720000,,0.90,13.0400000,5229.00,1.0
11.7910000,,0.070,11.9770000,Kepler-1761,0.57,15.6190000,,0.53,12.6430000,3871.00,1.0
13.8740000,,0.070,13.8540000,Kepler-1762,1.30,15.2390000,,1.24,14.1500000,6572.00,1.0
12.1340000,,0.020,12.1820000,Kepler-1763,1.03,13.6340000,,1.26,12.4710000,5897.00,1.0
11.4750000,,-0.220,11.5470000,Kepler-1766,0.92,12.9600000,,1.04,11.8290000,5868.00,1.0
13.7920000,,0.140,13.8860000,Kepler-1767,0.89,16.2060000,,0.83,14.4020000,5243.00,1.0
12.567,,,12.686,Kepler-176,,,,0.891,13.097,5232,4.0
11.7500000,,0.120,11.8420000,Kepler-1772,0.94,13.5460000,,0.93,12.1510000,5541.00,1.0
11.6920000,,0.260,11.7530000,Kepler-1773,1.24,13.0850000,,1.30,11.9700000,6183.00,1.0
12.5050000,,-0.020,12.5880000,Kepler-1774,1.10,14.0200000,,1.12,12.8600000,6214.00,1.0
12.0050000,,0.240,12.0240000,Kepler-1775,1.15,13.4290000,,1.65,12.3000000,5818.00,1.0
12.2590000,,0.100,12.3130000,Kepler-1776,1.04,13.6800000,,1.15,12.5920000,5872.00,1.0
12.5280000,,0.060,12.6090000,Kepler-1777,0.98,14.1120000,,1.07,12.9110000,5771.00,1.0
12.9850000,,-0.200,13.1270000,Kepler-1788,0.69,15.4840000,,0.70,13.6570000,4786.00,1.0
12.7350000,,0.120,12.7370000,Kepler-1789,0.92,14.4490000,,0.89,13.1400000,5436.00,1.0
12.899,,,12.967,Kepler-178,0.8900,,,1.066,13.280,5676,3.0
12.7760000,,0.060,12.9370000,Kepler-1798,0.59,16.3910000,,0.59,13.5940000,3967.00,1.0
14.2370000,,0.000,14.2200000,Kepler-1799,1.02,15.9900000,,0.92,14.6360000,5831.00,1.0
12.750,,,12.87,Kepler-179,0.8420,,,0.759,13.278,5302,2.0
12.585,14.6,0.26,12.670,Kepler-17,1.16,14,G2V,1.05,12.992,5781,1.0
13.4900000,,-0.340,13.5680000,Kepler-1808,0.77,15.4240000,,0.89,13.9530000,5530.00,1.0
12.1600000,,0.040,12.1560000,Kepler-1809,0.81,14.2710000,,0.72,12.6620000,4901.00,1.0
12.685,,,12.696,Kepler-180,0.9100,,,1.063,13.057,5731,2.0
12.8290000,,-0.080,12.9030000,Kepler-1818,1.02,14.5140000,,1.13,13.1990000,6047.00,1.0
13.8420000,,0.210,13.8560000,Kepler-1819,1.17,15.4890000,,1.07,14.1720000,6090.00,1.0
12.88,,,12.948,Kepler-181,0.8530,,,0.749,13.364,5333,2.0
14.1490000,,0.070,14.1070000,Kepler-1820,1.05,15.7590000,,0.93,14.4850000,5841.00,1.0
13.0580000,,0.140,13.1820000,Kepler-1821,0.95,14.7950000,,0.88,13.4690000,5475.00,1.0
13.4090000,,0.200,13.3920000,Kepler-1824,1.14,14.9760000,,1.08,13.6310000,6002.00,1.0
12.3480000,,0.140,12.4020000,Kepler-1825,0.83,14.6050000,,0.85,12.8910000,5123.00,1.0
12.6740000,,-0.280,12.8400000,Kepler-1826,0.49,16.8300000,,0.49,13.4910000,3821.00,1.0
11.1710000,,0.080,11.2610000,Kepler-1827,0.92,13.2280000,,1.40,11.6690000,5423.00,1.0
13.52,,,13.57,Kepler-182,1.1000,,,1.146,13.836,6250,2.0
12.2640000,,0.240,12.3090000,Kepler-1830,1.44,13.6050000,,2.05,12.5340000,6160.00,1.0
13.5380000,,0.070,13.6120000,Kepler-1831,1.12,15.1580000,,1.01,13.9010000,6063.00,1.0
12.3500000,,-0.540,12.4240000,Kepler-1832,0.68,14.5770000,,0.72,12.9130000,5242.00,1.0
11.2900000,,0.380,11.3590000,Kepler-1833,1.29,12.6450000,,1.45,11.5880000,6164.00,1.0
12.7220000,,0.160,12.8360000,Kepler-1834,0.77,15.1800000,,0.79,13.3100000,4821.00,1.0
13.8360000,,-0.260,13.8440000,Kepler-1835,0.92,15.6150000,,0.96,14.1890000,5903.00,1.0
13.31,,,13.384,Kepler-183,0.9900,,,0.958,13.726,5888,2.0
12.7310000,,0.140,12.9430000,Kepler-1840,0.77,15.1920000,,0.80,13.4770000,4898.00,1.0
12.7450000,,0.120,12.8260000,Kepler-1841,0.82,14.8550000,,0.90,13.2450000,5190.00,1.0
13.1040000,,0.060,13.2200000,Kepler-1842,1.06,14.7460000,,1.13,13.5180000,5970.00,1.0
11.1410000,,0.020,11.2140000,Kepler-1843,1.02,13.0860000,,1.78,11.6060000,5422.00,1.0
14.0620000,,-0.180,14.0740000,Kepler-1844,0.94,15.9950000,,0.85,14.4610000,5776.00,1.0
13.5850000,,-0.140,13.6600000,Kepler-1845,0.69,16.1170000,,0.70,14.1750000,4703.00,1.0
11.9420000,,0.080,12.0390000,Kepler-1846,0.79,14.4120000,,0.73,12.5540000,4825.00,1.0
14.1920000,,-0.180,14.3590000,Kepler-1847,1.04,16.0270000,,0.96,14.6820000,6122.00,1.0
12.690,,,12.752,Kepler-184,0.9700,,,0.873,13.100,5788,3.0
11.5620000,,-0.220,11.6800000,Kepler-1850,0.61,14.4400000,,0.60,12.2560000,4239.00,1.0
13.9620000,,-0.280,14.1410000,Kepler-1851,0.97,15.6990000,,0.88,14.5240000,5982.00,1.0
13.4270000,,0.240,13.5510000,Kepler-1852,0.93,15.7260000,,0.83,14.0130000,5237.00,1.0
12.7760000,,0.160,12.8820000,Kepler-1853,0.77,15.2290000,,0.79,13.4040000,4821.00,1.0
12.1460000,,0.000,12.1930000,Kepler-1854,0.80,14.3810000,,0.76,12.7290000,5026.00,1.0
12.0320000,,0.070,12.2660000,Kepler-1855,0.39,16.5560000,,0.36,12.8580000,3460.00,1.0
13.3920000,,0.140,13.3450000,Kepler-1856,0.78,15.6210000,,0.82,13.8270000,4948.00,1.0
12.5930000,,-0.540,12.6900000,Kepler-1857,0.87,14.3600000,,1.01,12.9980000,6074.00,1.0
12.515,,,12.587,Kepler-185,0.7730,,,0.806,13.050,5208,2.0
11.5590000,,0.000,11.6900000,Kepler-1868,0.74,14.1570000,,0.69,12.2240000,4658.00,1.0
8.6930000,,-0.060,8.7610000,Kepler-1869,0.99,10.3100000,,0.90,9.0520000,5808.00,1.0
11.605,,-0.28,11.82,Kepler-186,0.478,,,0.472,12.473,3788,5.0
13.6720000,,-0.260,13.7900000,Kepler-1878,0.96,15.5870000,,0.86,14.1580000,5918.00,1.0
11.4440000,,0.000,11.4960000,Kepler-1879,1.02,12.8250000,,1.39,11.7530000,5865.00,1.0
12.566,,,12.62,Kepler-187,1.0000,,,1.287,12.956,6105,2.0
13.4390000,,-0.920,13.5330000,Kepler-1880,0.52,16.0880000,,0.53,14.1570000,4380.00,1.0
13.9780000,,0.120,13.9430000,Kepler-1881,0.81,15.8980000,,0.87,14.4230000,5135.00,1.0
10.9190000,,0.260,10.9740000,Kepler-1882,1.07,12.5160000,,1.46,11.2710000,5691.00,1.0
14.0970000,,-0.120,14.0850000,Kepler-1883,1.09,15.6420000,,1.02,14.4050000,6208.00,1.0
13.6110000,,-0.200,13.6910000,Kepler-1884,0.99,15.4330000,,0.91,14.0110000,5984.00,1.0
13.1090000,,0.070,13.1910000,Kepler-1885,0.98,14.8510000,,0.86,13.5260000,5591.00,1.0
13.7050000,,-0.200,13.8680000,Kepler-1886,0.93,15.6270000,,0.84,14.2290000,5745.00,1.0
14.2980000,,-0.100,14.3340000,Kepler-1887,0.96,15.9550000,,0.86,14.8000000,5749.00,1.0
13.144,,,13.197,Kepler-188,1.0100,,,1.141,13.536,6021,2.0
11.5660000,,-0.160,11.6160000,Kepler-1890,1.02,12.9160000,,1.40,11.8510000,6046.00,1.0
