magK,magB,metallicity,magH,name,mass,magV,spectraltype,radius,magJ,temperature,planets
11.57,,-0.12,11.75,EPIC 201208431,0.63,14.91,,0.6,12.37,4197,1.0
,,,,EPIC 201208431 B,,,,,,,0.0
11.933,,,12.147,EPIC 201238110,0.41,,,,12.759,,1.0
10.69,12.782,0.13,10.7,EPIC 201295312,1.13,12.189,,1.52,11.02,5830,1.0
11.6,16.30,-0.33,11.76,EPIC 201338508,0.61,14.91,,0.57,12.45,3930,2.0
11.07,13.302,-0.14,11.09,EPIC 201384232,0.97,12.654,,0.96,11.44,5850,1.0
,,,,EPIC 201384232 B,,,,,,,0.0
11.56,13.90,-0.07,11.63,EPIC 201393098,0.97,13.21,,0.96,11.95,5772,1.0
10.78,12.485,-0.5,10.76,EPIC 201403446,1.01,12.029,,1.12,11.05,6445,1.0
,,,,EPIC 201403446 B,,,,,,,0.0
12.5810000,,-0.053,12.6300000,EPIC 201427007,0.93,14.3210000,,0.94,12.9750000,5633.00,1.0
12.24,15.65,-0.02,12.32,EPIC 201445392,0.78,14.61,,0.74,12.83,4870,2.0
11.495,,-0.25,11.710,EPIC 201465501,0.30,15.63,M2.5V,0.31,12.451,3390,1.0
11.438,,,11.540,EPIC 201497682,0.78,14.102,,,12.086,,1.0
11.16,13.798,0.10,11.21,EPIC 201505350,0.93,13.002,,0.86,11.6,5430,3.0
10.7,,0.14,10.79,EPIC 201546283,0.89,12.64,,0.85,11.16,5320,1.0
11.423,15.56,0.05,11.564,EPIC 201549860 A,0.701968,14.37,,0.619575,12.144,4402.713379,2.0
,,,,EPIC 201549860 B,,,,,,,0.0
14.08,,-0.44,14.11,EPIC 201565013,0.51,,,0.5,14.78,3987,1.0
10.64,13.138,-0.07,10.75,EPIC 201577035,0.92,12.418,,0.98,11.06,5620,1.0
10.2180000,,-0.010,10.2620000,EPIC 201595106,1.02,11.7460000,,0.93,10.5880000,5820.00,1.0
11.35,,-0.12,11.46,EPIC 201596316,1.35,,,5.15,11.87,5433,1.0
10.61,12.990,0.03,10.71,EPIC 201613023,1.01,12.258,,1.01,10.98,5800,1.0
10.9,,-0.08,11.09,EPIC 201617985,0.52,,,0.49,11.72,3742,1.0
11.17,,-0.54,11.26,EPIC 201629650,0.8,,,0.78,11.57,5698,1.0
,,,,EPIC 201629650 B,,,,,,,0.0
12.61,17.74,-0.37,12.77,EPIC 201635569,0.47,16.31,,0.45,13.42,3789,1.0
11.91,,0.03,12.09,EPIC 201637175 A,0.60,,M0V,0.57,12.74,3830,1.0
13.93,,0.06,14.27,EPIC 201637175 B,0.27,,M4V,0.30,14.87,3290,0.0
12.77,,-0.26,12.88,EPIC 201702477,0.87,,,0.85,13.27,5618,1.0
,,,,EPIC 201702477 B,,,,,,,0.0
12.49,,-0.46,12.55,EPIC 201736247,0.72,14.66,,0.68,13.07,5131,1.0
12.149,,-0.003,12.292,EPIC 201757695,0.73,15.020,,0.66,12.856,4520.00,1.0
9.93,,-0.69,10.23,EPIC 201828749,0.74,,,0.71,10.49,5552,1.0
,,,,EPIC 201828749 B,,,,,,,0.0
12.454,15.90,,12.490,EPIC 201841433,0.80,14.867,,,13.060,,1.0
10.31,14.819,0.15,10.44,EPIC 201855371,0.71,13.519,,0.66,11.08,4320,1.0
8.9,15.01,0.09,9.13,EPIC 201912552,0.359,13.50,M2.8,0.411,9.76,3457,2.0
10.324,12.08,,10.420,EPIC 203311200,0.91,11.88,,0.94,10.644,5200,1.0
9.18,12.22,0.42,9.29,EPIC 203771098,1.12,11.28,G3V,1.21,9.63,5743,2.0
10.142,13.463,-0.03,10.214,EPIC 203826436,0.90,12.568,,0.85,10.692,5413,3.0
8.866,11.63,0.08,8.942,EPIC 204129699,0.91,10.8,G7 V,0.78,9.318,5280,1.0
9.470,12.344,0.28,9.600,EPIC 204221263,1.07,11.39,,1.10,9.911,5757,2.0
,17.353,,,EPIC 205117205,0.54,,M3.3,1.06,,3540.0,1.0
9.42,14.14,-0.11,9.63,EPIC 206011691,0.64,12.85,M0V,0.60,10.25,4043,2.0
11.487,,,11.533,EPIC 206024342,0.93,13.116,,,11.846,,1.0
12.538,,,12.859,EPIC 206032309,0.22,,,,13.429,,1.0
13.071,,,13.253,EPIC 206042996,0.56,16.743,,,13.964,,1.0
12.767,,,12.954,EPIC 206215704,0.41,,,,13.561,,1.0
11.635,,,11.720,EPIC 206317286,0.71,14.051,,,12.258,,1.0
10.75,,0.31,11.03,EPIC 206318379,0.264,15.81,M4V,0.293,11.70,3214,1.0
9.799,13.23,0.29,9.910,EPIC 210363145,0.8,12.158,K,0.76,10.384,4970,1.0
10.444,17.760,0.15,10.732,EPIC 210490365,0.294,15.881,M4.5,0.295,11.303,3180,1.0
,,,,EPIC 211089792,0.94,12.56,G7V,0.86,,,1.0
10.869,12.65,-0.2,10.905,EPIC 211391664,1.074,12.17,F8V,1.311,11.124,6120.0,1.0
11.432,,0.14,11.699,EPIC 211822797,0.61,,M0.4,0.59,12.264,3880,1.0
12.290,19.59,0.14,12.549,EPIC 211901114,0.46,17.14,M2.7,0.46,13.129,3440,1.0
10.536,14.00,0.14,10.678,EPIC 211913977,0.80,12.96,K3V,0.73,11.162,4819,1.0
12.442,19.86,0.14,12.740,EPIC 211916756,0.43,17.27,M2.0,0.44,13.293,3410,1.0
8.837,10.94,0.100,8.908,EPIC 211945201,1.17,10.154,G0,1.39,9.144,6069.00,1.0
12.021,18.46,0.14,12.246,EPIC 211969807,0.51,16.26,M1.2,0.48,12.800,3660,1.0
10.640,14.30,0.14,10.739,EPIC 211970147,0.77,13.19,K3.6,0.71,11.282,4695,1.0
9.182,11.13,0.14,9.242,EPIC 211990866,1.18,10.55,G0V,1.19,9.463,6120,1.0
12.186,,,12.223,EPIC 212297394,0.83,14.423,,,12.735,,1.0
11.775,13.97,,11.841,EPIC 212424622,1.11,13.354,,,12.101,,1.0
11.366,14.45,,11.456,EPIC 212499991,0.91,13.552,,,11.877,,1.0
10.8570000,,-0.180,10.9110000,EPIC 212587672,0.99,12.4880000,,0.98,11.1810000,6004.00,2.0
12.2920000,,-0.390,12.3370000,EPIC 212624936,1.00,13.9760000,,0.93,12.6720000,5765.00,2.0
12.160,15.963,-0.137,12.239,EPIC 212737443,0.69,14.836,K3,0.67,12.824,4684.00,2.0
9.720,11.75,0.2,9.755,EPIC 212803289,1.6,11.15,G0 IV,3.1,10.024,5990.0,1.0
,13.64,0.1,,EPIC 216468514,1.3,12.92,F9IV,1.78,,6030.0,1.0
,12.43,0.21,,EPIC 218916923,0.918,11.65,,0.86,,5287.0,1.0
,,0.18,,EPIC 220504338,1.007,,G,1.047,,5627.0,1.0
10.344,12.577,-0.28,10.454,EPIC 220674823,0.93,12.102,,0.83,10.770,5814.0,2.0
,,0.12,,EPIC 228735255,1.005,12.62,G5,0.987,,5654.0,1.0
9.540,12.934,-0.11,9.637,EPIC 228754001,1.19,11.897,K,4.11,10.153,4878.0,1.0
,,0.08,,EPIC 228813918,0.463,15.498,M3 V,0.442,,3492.0,1.0
12.0200000,,-0.180,12.2250000,EPIC 228836835,0.42,16.7700000,,0.32,12.8310000,3782.00,1.0
10.668,,0.098,10.798,EPIC 246193072,0.90,12.697,,0.82,11.174,5282.00,1.0
9.893,,0.141,9.967,EPIC 246851721,1.32,11.439,F5V,1.59,10.199,6202.00,1.0
10.148,13.33,-0.230,10.235,EPIC 248847494,0.90,12.416,,2.70,10.765,4898.00,1.0
9.714,12.355,0.200,9.800,EPIC 249893012,1.05,11.428,G8IV/V,1.71,10.216,5430.00,3.0
1.349,5.360,-0.094,1.488,eps Coronae Borealis,1.7,4.14,K2 III,21,2.104,4406,1.0
,,,,eps Coronae Borealis B,,12.60,,,,,0.0
1.776,4.61,-0.07,1.880,eps Eridani,0.82,3.73,K2 V,0.743,2.228,5135,1.0
2.237,5.75,-0.06,2.349,Epsilon Indi A,0.762,4.69,K5V,0.732,2.894,4568,1.0
11.42,,-0.2,11.60,Epsilon Indi Ba,0.0716,24.12,T1V,,12.20,,0.0
13.64,,-0.2,13.40,Epsilon Indi Bb,0.0669,,T6V,,12.96,,0.0
1.31,4.549,0.17,1.314,eps Tau,2.7,3.53,K0 III,13.7,1.748,4901,1.0
0.875,4.61,0.12,1.012,eta Cet,1.7,3.45,K1III,14.3,1.565,4528,2.0
,,,,EZ Aquarii A,0.11,15.64,M5.0Ve,,,,0.0
,,,,EZ Aquarii C,0.10,16.34,M?,,,,0.0
,,,,EZ Aquarii B,0.11,15.58,M?,,,,0.0
,,,,FL Lyr A,1.218,9.58,F8V,1.128,,6152,0.0
,,,,FL Lyr B,0.963,11.04,G8V,1.128,,5297,0.0
11.692,11.50,,11.743,FN Lyr,0.595,12.731,,,11.965,6457,1.0
0.94,1.25,,0.94,Fomalhaut A,1.92,1.16,A3 V,1.84,1.04,8590.0,1.0
,,,,Fomalhaut B,0.73,6.488,K4Ve,,,4594,0.0
,,,,Fomalhaut C,0.18,13.2,M4V,,,3132,0.0
9.324,15.1,,9.945,FU Tau A,0.05,,M7.25,,10.781,2838.0,1.0
,17.94,,,FW Tau A,0.12,16.64,M4,,,3270,0.0
,18.33,,,FW Tau B,0.12,16.85,M4,,,,0.0
,,0.1,,G 264-012,0.297,12.0,M4.0V,0.305,,3326.0,2.0
9.190,,0.040,9.433,G 9-40,0.29,13.823,M2.5V,0.31,10.058,3348.00,1.0
,,,,Gaia-2,1.0,11.3,,1.064,,5720.0,1.0
1.04,4.250,0.18,1.19,gamma Cephei A,1.18,3.220,K1 III-IV,4.9,1.66,4800.0,1.0
7.3,,,,gamma Cephei B,0.32,,M4,,,,0.0
,3.13,-0.51,,Gamma-1 Leonis,1.23,2.01,K0III,31.88,,4330,1.0
,3.4,,,Gamma-2 Leonis,,4.225,G7IIIb,,,,0.0
1.524,,-0.300,1.595,gamma Libra,1.47,3.910,K0III,11.10,2.129,4822.00,2.0
,,,,gam Psc,,,G9III,,,,1.0
7.585,17.21,-0.19,7.883,GAT 1370,0.089,15.08,M7.0 V,0.107,8.394,2904,2.0
6.610,,-0.080,7.015,GJ 1061,0.12,13.060,M5.5V,0.16,7.523,2953.00,3.0
8.322,,,8.666,GJ 1132,0.18,13.490,M4.5V,0.21,9.245,3270.00,2.0
6.8220000,,0.160,7.0690000,GJ 1148,0.34,11.9390000,M5,0.36,7.6080000,3287.00,2.0
,,,,GJ 1151,0.17,13.0,M4.5,0.2,,,1.0
7.915,,0.100,8.161,GJ 1252,0.38,12.193,M3,0.39,8.697,3458.00,1.0
8.115,,-0.040,8.422,GJ 1265,0.18,13.570,M4.5V,0.19,8.955,3236.00,1.0
5.375,,0.003,5.524,GJ 143,0.73,7.870,K4.5,0.69,6.081,4640.00,2.0
6.702,10.904,,6.854,GJ 160.2,0.69,9.680,M0V,,7.439,4347.00,1.0
6.598,,,6.860,GJ 180,0.43,10.910,M2V,,7.413,,3.0
6.890,,,7.065,GJ 2056,0.62,10.370,M0V:,,7.704,,1.0
4.166,,,4.393,GJ 229,0.58,8.140,M1/M2V,,5.104,,2.0
14.36,,,14.36,GJ 229 B,,,T6,,14.01,1000,0.0
5.275,,-0.030,5.526,GJ 251,0.36,10.020,M3.0V,0.36,6.104,3451.00,1.0
7.394,12.888,,7.609,GJ 27.1,0.53,11.420,M0.5V,,8.225,3542.00,1.0
4.857,11.443,0.09,5.219,GJ 273,0.29,9.872,M3.5,0.293,5.714,3382.0,2.0
6.966,12.591,,7.242,GJ 3082,0.47,11.077,M0.0,,7.805,,1.0
,,-0.06,,GJ 3090,0.519,11.0,,0.516,,3556.0,1.0
,12.82,-0.3,,GJ 3138,0.681,10.877,M0,0.5,,3717.0,3.0
7.028,,,7.321,GJ 317,0.42,11.970,M2.5V,,7.934,,2.0
4.7670000,,0.160,4.9480000,GJ 3222,0.89,6.9000000,K0V,0.93,5.3330000,5257.46,1.0
6.736,13.92,-0.27,7.065,GJ 3323,0.164,12.196,M4,0.119,7.617,3159.0,2.0
4.136,,-0.030,4.043,GJ 338 B,0.64,7.700,M0.0V,0.58,4.779,4005.00,1.0
8.829,,0.110,9.063,GJ 3473,0.36,,M4,0.36,9.627,3347.00,2.0
8.668,,-0.070,8.996,GJ 3512,0.12,15.050,M5.5V,0.14,9.615,3081.00,1.0
6.475,,-0.120,6.740,GJ 357,0.34,10.920,M2.5V,0.34,7.337,3505.00,3.0
,,,,GJ 367,,,M1,,,,1.0
7.957,,0.000,8.162,GJ 3779,0.27,12.960,M4.0V,0.28,8.728,3324.00,1.0
,,0.0,,GJ 3929,0.309,12.0,M3.5V,0.35,,3369.0,2.0
,,-0.09,,GJ 393,0.426,9.0,M2.0V,0.426,,3579.0,1.0
6.331,,-0.040,6.525,GJ 3942,0.63,10.250,M0,0.61,7.185,3867.00,1.0
6.816,,-0.160,7.020,GJ 3998,0.50,10.830,M1,0.49,7.634,3722.00,2.0
3.5010000,8.960,-0.090,3.7220000,GJ 411,0.39,7.4900000,M1.5V,0.39,4.3200000,3601.00,2.0
,,,,GJ 414 B,0.542,,M2V,0.548,,3663,0.0
4.9790000,,0.240,5.1300000,GJ 414 A,0.65,8.3100000,K7V,0.68,5.7640000,4120.00,2.0
7.035,,,7.304,GJ 422,0.35,11.550,M3.5V,,7.811,,1.0
7.887,,0.120,8.160,GJ 4276,0.41,,M4.0,0.41,8.745,3387.00,1.0
5.623,,,5.856,GJ 433,0.48,9.806,M1.5V,,6.471,,3.0
6.691,,,6.939,GJ 480,0.45,11.510,M3.5Ve,,7.581,,1.0
,,0.07,,GJ 486,0.323,11.4,M3.5V,0.328,,3340.0,1.0
